"","Dim1","Dim2","type"
"G36038",-0.249182509445481,-0.0945770651872339,"samples"
"G36039",-0.461629737675718,-0.26147162242624,"samples"
"G36040",-0.399611665311655,-0.32663700228417,"samples"
"G36041",-0.42113682963888,-0.218927271497495,"samples"
"G36042",-0.472725413077674,-0.0569800635508157,"samples"
"G36043",0.208025177837483,-0.073715894066562,"samples"
"G36044",0.203501920822526,-0.124493122875898,"samples"
"G36045",0.247090846750821,-0.0382979960079732,"samples"
"G36046",0.284775580354332,0.194776471947848,"samples"
"G36047",-0.0509521040248482,0.0719226249560218,"samples"
"G36048",0.14310529533994,0.25467435458104,"samples"
"G36049",-0.0710561567855537,0.19447418786711,"samples"
"G36050",0.1205077270065,0.219876711884541,"samples"
"G36051",0.158266445531849,0.234350999396763,"samples"
"G36052",0.264463642680745,0.231953235404264,"samples"
"G36053",-0.0247130067910975,0.305138957822057,"samples"
"G36054",0.187000161489255,0.242942350845666,"samples"
"G36133",0.112294294118379,0.272442757558883,"samples"
"G36134",-0.0525680275123158,0.283022504572356,"samples"
"G36135",-0.237629665883169,0.341815419681144,"samples"
"G36136",-0.000486256028072267,0.270213782635534,"samples"
"G36137",-0.283250181408714,0.320441782346235,"samples"
"G36138",0.239641546306642,-0.0847018079976494,"samples"
"G36139",0.00676038122691432,-0.267169655397201,"samples"
"G36140",0.050093915870651,-0.192795829438584,"samples"
"G36141",0.265427423985718,0.159000820895407,"samples"
"G36142",-0.000954560839071901,0.239109807887999,"samples"
"G36143",-0.100729982555798,0.250654037203815,"samples"
"G36144",-0.242726127484072,-0.146253946290586,"samples"
"G36145",-0.249716468394373,-0.191534500052188,"samples"
"G36146",-0.355111217900675,-0.125105410590111,"samples"
"G36147",-0.514649490529075,0.312637040944079,"samples"
"G36148",-0.356057217032561,0.310263781460377,"samples"
"G36149",0.176006393946683,-0.190820249175284,"samples"
"G36150",0.0660261508120761,-0.175532490394498,"samples"
"G36151",0.0814185707498233,-0.192775017953386,"samples"
"G36152",0.03349085569154,-0.202536062797369,"samples"
"G36153",0.183751372945976,-0.0774314622226789,"samples"
"G36154",0.204055587559765,-0.151595102992936,"samples"
"G36155",0.155314759432938,-0.204652546213432,"samples"
"G36156",0.0453137993292417,-0.296844709885486,"samples"
"G36157",0.197609903778623,-0.177459174185126,"samples"
"G36158",-0.352466843674498,-0.250892035391436,"samples"
"G36159",-0.249055635642862,-0.296747106794152,"samples"
"G36160",0.148805665002487,0.14930054057428,"samples"
"G36161",-0.19647200484223,0.0705609876691463,"samples"
"G36162",0.161309725351092,0.00692000448156834,"samples"
"G36163",-0.037181952864818,-0.157405592632357,"samples"
"G36164",0.204601550483221,0.176861384028073,"samples"
"G36165",0.00566418780590641,-0.102763735409172,"samples"
"G36166",0.0813873065099864,-0.2687985574341,"samples"
"G36167",0.0744216090839071,-0.236232726042335,"samples"
"G36168",0.0574855918381092,-0.223972159657322,"samples"
"G36169",0.149444970003129,-0.126408103910632,"samples"
"G36170",-0.120585124759936,-0.200587707766384,"samples"
"G36171",0.0435969901769406,-0.258797252669686,"samples"
